Model No.,Layers,Learning Rate,Dropout,Accuracy,Precision,Recall,F1-Score,ROC-AUC
1,[10],0.001,0.0,0.6,0.27586206896551724,0.7272727272727273,0.4,0.7717996289424861
2,[10],0.001,0.3,0.7166666666666667,0.35,0.6363636363636364,0.45161290322580644,0.7717996289424861
3,[10],0.01,0.0,0.7,0.23076923076923078,0.2727272727272727,0.25,0.6289424860853432
4,[10],0.01,0.3,0.7166666666666667,0.2857142857142857,0.36363636363636365,0.32,0.6382189239332097
5,"[16, 8]",0.001,0.0,0.7333333333333333,0.38095238095238093,0.7272727272727273,0.5,0.7847866419294991
6,"[16, 8]",0.001,0.3,0.65,0.2916666666666667,0.6363636363636364,0.4,0.6938775510204082
7,"[16, 8]",0.01,0.0,0.7833333333333333,0.4,0.36363636363636365,0.38095238095238093,0.6270871985157699
8,"[16, 8]",0.01,0.3,0.75,0.25,0.18181818181818182,0.21052631578947367,0.5992578849721707
9,"[32, 16]",0.001,0.0,0.65,0.25,0.45454545454545453,0.3225806451612903,0.653061224489796
10,"[32, 16]",0.001,0.3,0.6833333333333333,0.3181818181818182,0.6363636363636364,0.42424242424242425,0.7365491651205937
11,"[32, 16]",0.01,0.0,0.7,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.6141001855287569
12,"[32, 16]",0.01,0.3,0.7666666666666667,0.36363636363636365,0.36363636363636365,0.36363636363636365,0.6975881261595548
13,"[64, 32]",0.001,0.0,0.7333333333333333,0.3076923076923077,0.36363636363636365,0.3333333333333333,0.6048237476808905
14,"[64, 32]",0.001,0.3,0.65,0.2727272727272727,0.5454545454545454,0.36363636363636365,0.6456400742115027
15,"[64, 32]",0.01,0.0,0.8166666666666667,0.5,0.2727272727272727,0.35294117647058826,0.5936920222634507
16,"[64, 32]",0.01,0.3,0.75,0.3333333333333333,0.36363636363636365,0.34782608695652173,0.6790352504638218
